ResinPercentage,PigmentPercentage,SolventPercentage,Gloss,Viscosity,HidingPower,Dispersant_Percentage,Thickener_Percentage,Defoamer_Percentage,TotalSolidsContent,SimulatedPVC,SolventToResinRatio,ResinType_Acrylic,ResinType_Alkyd,ResinType_Epoxy,ResinSupplier_SupplierA_Resin,ResinSupplier_SupplierB_Resin,ResinSupplier_SupplierC_Resin,ResinSupplier_SupplierD_Resin,ResinSupplier_SupplierE_Resin,ResinSupplier_SupplierF_Resin,PigmentType_Iron Oxide Red,PigmentType_Organic Blue,PigmentType_Titanium Dioxide,PigmentSupplier_SupplierG_Pigment,PigmentSupplier_SupplierH_Pigment,PigmentSupplier_SupplierI_Pigment,PigmentSupplier_SupplierJ_Pigment,PigmentSupplier_SupplierK_Pigment,PigmentSupplier_SupplierL_Pigment,SolventType_Mineral Spirits,SolventType_Water,SolventType_Xylene,SolventSupplier_SupplierM_Solvent,SolventSupplier_SupplierN_Solvent,SolventSupplier_SupplierO_Solvent,SolventSupplier_SupplierP_Solvent,SolventSupplier_SupplierQ_Solvent,Dispersant_Supplier_SupplierR_Add,Dispersant_Supplier_SupplierS_Add,Thickener_Supplier_SupplierT_Add,Thickener_Supplier_SupplierU_Add,Defoamer_Supplier_SupplierV_Add,Defoamer_Supplier_SupplierW_Add,Resin_Pigment_Combo_Acrylic_Iron Oxide Red,Resin_Pigment_Combo_Acrylic_Organic Blue,Resin_Pigment_Combo_Acrylic_Titanium Dioxide,Resin_Pigment_Combo_Alkyd_Iron Oxide Red,Resin_Pigment_Combo_Alkyd_Organic Blue,Resin_Pigment_Combo_Alkyd_Titanium Dioxide,Resin_Pigment_Combo_Epoxy_Iron Oxide Red,Resin_Pigment_Combo_Epoxy_Organic Blue,Resin_Pigment_Combo_Epoxy_Titanium Dioxide,Resin_Solvent_Combo_Acrylic_Mineral Spirits,Resin_Solvent_Combo_Acrylic_Water,Resin_Solvent_Combo_Acrylic_Xylene,Resin_Solvent_Combo_Alkyd_Mineral Spirits,Resin_Solvent_Combo_Alkyd_Water,Resin_Solvent_Combo_Alkyd_Xylene,Resin_Solvent_Combo_Epoxy_Mineral Spirits,Resin_Solvent_Combo_Epoxy_Water,Resin_Solvent_Combo_Epoxy_Xylene,Pigment_Solvent_Combo_Iron Oxide Red_Mineral Spirits,Pigment_Solvent_Combo_Iron Oxide Red_Water,Pigment_Solvent_Combo_Iron Oxide Red_Xylene,Pigment_Solvent_Combo_Organic Blue_Mineral Spirits,Pigment_Solvent_Combo_Organic Blue_Water,Pigment_Solvent_Combo_Organic Blue_Xylene,Pigment_Solvent_Combo_Titanium Dioxide_Mineral Spirits,Pigment_Solvent_Combo_Titanium Dioxide_Water,Pigment_Solvent_Combo_Titanium Dioxide_Xylene
-2.145942130630125,1.0507864229204409,1.3876535068818217,-0.48905905536220096,0.7987261488582618,0.6624624136281623,-0.8319942717621286,0.2203390758359294,0.39876666606100936,-1.3883906913221689,1.832638154741279,2.0850870150213314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5722352865871331,-1.4586581487850359,1.9051735248686303,0.13319685628538716,-1.1111984598986182,0.2645831189636336,-0.8319942717621286,-0.7913527444533488,1.9447623280748652,-1.9044818934945043,-0.9175512823559232,1.7672836006156585,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9827675067722608,-0.8417182873026267,1.0631979515636665,-1.439396876243716,0.7880472027729616,0.3892828979036826,-0.8319942717621286,1.984630908779427,0.7470739891234197,-1.0648309220845873,-0.5196621827212968,1.2376112432728683,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.34512683506111613,-1.4808902158654824,1.1650930846387892,-0.35342742808113614,-0.7257178978139988,0.5615425925324949,-0.8319942717621286,1.5281358191367036,-0.829474946843279,-1.1664447339112678,-1.2203473896250419,0.7079388859300788,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.545324646139049,-0.9167515136991358,0.6019884018552155,-0.7355787022446767,-0.8676793003607923,1.0075618018576007,-0.8319942717621286,-0.37187077018706266,0.6126395837309104,-0.604894721184888,-0.7799166881426872,0.28420100005584736,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.2007043644014028,0.5783549974609374,0.6100327544664088,-0.21779580080007127,-0.07544845880514274,-1.5635736401946674,-0.8319942717621286,0.38689809502989597,0.7654059534951254,-0.6129168642238365,0.914240044263869,0.9198078288671949,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.768329802782823,-0.352612811532788,0.27753284653706056,0.815020712346956,-0.47247991761872504,0.030263534350704217,-0.8319942717621286,-0.7913527444533488,-0.010647204907086658,-0.28133495194731023,-0.26941746596995886,-0.03360241434982666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6137466828365711,0.4227305278978074,-0.16758799794900303,1.2558235010104168,-0.7901050846695907,-0.3995157037636047,-0.48169641984464145,-0.7913527444533488,-0.829474946843279,-0.021952327021317157,0.40624326925865367,-0.35140582875550014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9118113205674253,1.6121461167017312,-0.17563235056019724,0.8269343012297524,0.11699790628986492,2.439579263266815,0.7597100027401377,-0.7913527444533488,-0.829474946843279,0.17057910591344053,1.7000084548630692,0.07233205711873136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.03499559103622493,-0.34149677799256467,0.19977077129551957,1.290647837744744,0.94139294967858,-0.9574747146488474,-0.8319942717621286,-0.7913527444533488,0.8081805370291057,-0.20378756923747549,0.010856616791539115,0.07233205711873136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
